  2025-10-14 → 2025-10-19 : 411,963 bougies, 64,169,897 ticks
  2025-10-19 → 2025-10-24 : 418,324 bougies, 65,736,960 ticks
  2025-10-24 → 2025-10-29 : 422,454 bougies, 66,672,127 ticks
  2025-10-29 → 2025-11-03 : 426,584 bougies, 67,603,363 ticks
  2025-11-03 → 2025-11-08 : 432,621 bougies, 68,703,275 ticks
  2025-11-08 → 2025-11-13 : 437,604 bougies, 69,757,333 ticks
  2025-11-13 → 2025-11-18 : 441,734 bougies, 70,680,047 ticks
  2025-11-18 → 2025-11-23 : 446,393 bougies, 71,718,309 ticks
  2025-11-23 → 2025-11-28 : 452,603 bougies, 72,799,411 ticks
  2025-11-28 → 2025-12-03 : 456,604 bougies, 73,703,555 ticks
  2025-12-03 → 2025-12-08 : 460,725 bougies, 74,531,943 ticks
  2025-12-08 → 2025-12-13 : 466,762 bougies, 75,735,401 ticks
  2025-12-13 → 2025-12-18 : 471,745 bougies, 76,693,576 ticks
  2025-12-18 → 2025-12-23 : 475,875 bougies, 77,451,845 ticks
  2025-12-23 → 2025-12-28 : 478,962 bougies, 78,114,767 ticks
  2025-12-28 → 2026-01-02 : 483,821 bougies, 79,192,137 ticks
  2026-01-02 → 2026-01-07 : 487,951 bougies, 80,061,253 ticks
  2026-01-07 → 2026-01-12 : 492,081 bougies, 80,908,234 ticks
  2026-01-12 → 2026-01-17 : 498,118 bougies, 82,221,803 ticks
  2026-01-17 → 2026-01-22 : 502,952 bougies, 83,237,862 ticks
  2026-01-22 → 2026-01-27 : 507,082 bougies, 84,272,117 ticks
  2026-01-27 → 2026-02-01 : 511,741 bougies, 85,752,714 ticks
  2026-02-01 → 2026-02-06 : 518,102 bougies, 87,634,349 ticks
  2026-02-06 → 2026-02-11 : 522,232 bougies, 88,518,139 ticks
  2026-02-11 → 2026-02-16 : 526,362 bougies, 89,378,397 ticks
  2026-02-16 → 2026-02-21 : 532,251 bougies, 90,428,372 ticks
  2026-02-21 → 2026-02-26 : 537,234 bougies, 91,396,676 ticks
  2026-02-26 → 2026-03-03 : 541,362 bougies, 92,364,750 ticks
  2026-03-03 → 2026-03-08 : 546,021 bougies, 93,509,853 ticks
  2026-03-08 → 2026-03-13 : 552,382 bougies, 94,861,418 ticks
  2026-03-13 → 2026-03-18 : 556,512 bougies, 95,736,219 ticks
  2026-03-18 → 2026-03-23 : 560,642 bougies, 96,894,782 ticks
  2026-03-23 → 2026-03-28 : 566,679 bougies, 98,028,241 ticks
  2026-03-28 → 2026-04-02 : 571,662 bougies, 98,997,766 ticks
  2026-04-02 → 2026-04-07 : 574,418 bougies, 99,478,036 ticks
  2026-04-07 → 2026-04-12 : 579,077 bougies, 100,308,316 ticks
  2026-04-12 → 2026-04-17 : 585,438 bougies, 101,324,943 ticks
  2026-04-17 → 2026-04-22 : 589,568 bougies, 102,047,247 ticks
  2026-04-22 → 2026-04-27 : 593,698 bougies, 102,798,594 ticks
  2026-04-27 → 2026-05-02 : 599,735 bougies, 103,883,579 ticks
  2026-05-02 → 2026-05-07 : 604,718 bougies, 104,737,347 ticks
  2026-05-07 → 2026-05-12 : 608,848 bougies, 105,483,905 ticks
  2026-05-12 → 2026-05-17 : 613,507 bougies, 106,366,642 ticks
  2026-05-17 → 2026-05-22 : 619,868 bougies, 107,577,861 ticks
  2026-05-22 → 2026-05-27 : 623,850 bougies, 108,242,189 ticks
  2026-05-27 → 2026-06-01 : 627,980 bougies, 108,949,145 ticks
  2026-06-01 → 2026-06-06 : 634,017 bougies, 110,010,883 ticks
